ENTRY	GENE NAME	PROTEIN NAME	LOCATION
Q0K6W0	H16_A3186	Aldehyde reductase, related to diketogulonate reductase (EC 1.1.1.21)	Cytoplasm
Q0KEU0	thiF H16_A0330	Dinucleotide-utilizing enzyme involved in molybdopterin thiamine biosynthesis family 2	Cytoplasm
Q0KB73	H16_A1616	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	Cytoplasm
Q0K2P5	H16_B0938	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0JYH1	racX H16_B2421	Aspartate racemase (EC 5.1.1.13)	Cytoplasm
Q0K5L5	hutG4 H16_A3649	N-Formylglutamate amidohydrolase (EC 3.5.1.68)	Cytoplasm
Q0KAW5	H16_A1732	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K051	H16_B1841	Methylmalonyl-CoA mutase c-terminal domain/subunit (Cobalamin-binding) (EC 5.4.99.2)	Cytoplasm
Q0KBG1	H16_A1528	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K8F1	acnA H16_A2638	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	Cytoplasm
Q0JZB2	betB H16_B2130	Betaine-aldehyde dehydrogenase (EC 1.2.1.8)	Cytoplasm
Q0KBN2	argE1 H16_A1454	Acetylornithine deacetylase (EC 3.5.1.16)	Cytoplasm
Q0K4E0	mdh2 H16_B0334	Malate-dehydrogenase (EC 1.1.1.37)	Cytoplasm
Q0KET8	gpmA H16_A0332	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	Cytoplasm
Q0KF01	H16_A0269	N-Acetylglutamate synthase or related acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KBM9	ispF H16_A1457	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	Cytoplasm
Q0K9G6	H16_A2258	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KDH0	hldD H16_A0804	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	Cytoplasm
Q0K2S3	H16_B0909	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KD21	spoT1 H16_A0955	GTP pyrophosphokinase (EC 2.7.6.5)	Cytoplasm
Q0K1E0	cbbL1 cbbL cbxLC cfxLC H16_B1395	Ribulose bisphosphate carboxylase large chain, chromosomal (RuBisCO large subunit) (EC 4.1.1.39)	Cytoplasm
Q0KAA3	catC3 H16_A1967	Muconolactone Delta-isomerase (MIase) (EC 5.3.3.4)	Cytoplasm
Q0K455	H16_B0421	Aldehyde dehydrogenase, NAD(P)-dependent (EC 1.2.1.3)	Cytoplasm
Q0K0P7	H16_B1642	dTDP-glucose 4-6-dehydratase (EC 4.2.1.46)	Cytoplasm
Q0KF45	pyrE H16_A0224	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	Cytoplasm
Q0K3R7	H16_B0560	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19)	Cytoplasm
Q0K8Y6	folP H16_A2446	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	Cytoplasm
Q0K1F2	cbbB H16_B1383	Formate dehydrogenase, alpha chain (EC 1.2.1.2)	Cytoplasm
Q0KF99	H16_A0170	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K7X8	kynU H16_A2815	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	Cytoplasm
Q0K3Y9	H16_B0488	Predicted acyl-CoA transferase (EC 2.8.3.-)	Cytoplasm
Q0K354	nasE H16_B0778	Nitrite reductase, NAD(P)H-dependent,Ferredoxinsubunit (EC 1.7.1.4)	Cytoplasm
Q0KC80	pyc H16_A1251	Pyruvate carboxylase (EC 6.4.1.1)	Cytoplasm
Q0JZE6	treA H16_B2096	Neutral trehalase (EC 3.2.1.28)	Cytoplasm
Q0K8H5	trpB H16_A2614	Tryptophan synthase beta chain (EC 4.2.1.20)	Cytoplasm
Q0K4G1	H16_B0313	Acetolactate synthase large subunit (TPP dependent) (EC 2.2.1.6)	Cytoplasm
Q0KEJ1	H16_A0430	Trehalose-6-phosphate synthase (EC 2.4.1.15) (Osmoregulatory trehalose synthesis protein A) (UDP-glucose-glucosephosphate glucosyltransferase)	Cytoplasm
Q0JZU7	gdhA2 H16_B1945	Glutamate dehydrogenase	Cytoplasm
Q0KA97	H16_A1973	Acetyl/propionyl-CoA carboxylase,carboxyltransferase subunit (EC 6.4.1.-)	Cytoplasm
Q0K271	H16_B1112	Esterase/ipase (EC 3.1.1.-)	Cytoplasm
Q0JZ53	dadA8 H16_B2189	D-amino-acid dehydrogenase (EC 1.4.99.1)	Cytoplasm
Q0KDE3	maoB H16_A0831	Monoamine oxidase (Flavin containing) (EC 1.4.3.4)	Cytoplasm
Q59097	pdhA H16_A1374	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	Cytoplasm
Q0KBL1	H16_A1475	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylas (EC 3.5.1.-)	Cytoplasm
Q0K775	H16_A3071	Putative acetyltransferase protein (EC 2.3.1.-)	Cytoplasm
Q0KDB7	dadA4 H16_A0857	D-amino-acid dehydrogenase (EC 1.4.99.1)	Cytoplasm
Q0K3T5	poxD H16_B0542	Phenol hydroxylase P3 protein (EC 1.14.13.7)	Cytoplasm
Q0JY71	H16_B2521	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0JZG9	phaZ6 H16_B2073	Poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0KEB7	ubiH H16_A0504	2-Polyprenyl-6-methoxyphenol hydroxylase or related FAD-dependent oxidoreductase (EC 1.14.13.-)	Cytoplasm
Q0KDA8	H16_A0866	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0JZT6	purU H16_B1956	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	Cytoplasm
Q0KC24	glcD2 H16_A1307	Glycolate oxidase subunit GlcD (EC 1.1.3.15)	Cytoplasm
Q0K4C1	citE2 H16_B0353	Citrate lyase beta subunit (EC 4.1.3.6)	Cytoplasm
Q0KCL6	H16_A1114	NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	Cytoplasm
Q0JZ08	bkdA2 H16_B2234	2-Oxoisovalerate dehydrogenase E1 component,beta subunit (EC 1.2.4.1)	Cytoplasm
P50322	cbbGP PHG418	Glyceraldehyde-3-phosphate dehydrogenase, plasmid (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	Cytoplasm
Q04539	rpe2 cbbEP cfxE PHG423	Ribulose-phosphate 3-epimerase 2 (EC 5.1.3.1)	Cytoplasm
Q0JYE6	H16_B2446	4-Hydroxybenzoate decarboxylase (EC 4.1.1.61)	Cytoplasm
Q0KAG5	prpB H16_A1905	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	Cytoplasm
Q0JYC2	H16_B2470	Putative alcohol dehydrogenase class III (EC 1.1.1.1)	Cytoplasm
Q0K5X9	hmp2 H16_A3533	Flavohemoprotein (Hemoglobin-like)	Cytoplasm
Q0JYE5	ubiX H16_B2447	Flavin prenyltransferase UbiX (EC 2.5.1.129)	Cytoplasm
Q0KAD6	tdh H16_A1934	Threonine dehydrogenase (Zn dependent) (EC 1.1.1.103)	Cytoplasm
Q0K9S3	H16_A2151	Putative acyl dehydratase (EC 4.2.1.-)	Cytoplasm
Q0K521	eutC H16_B0097	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	Cytoplasm
Q0K7X5	gcdH H16_A2818	Glutaryl-CoA dehydrogenase (EC 1.3.99.7)	Cytoplasm
Q0KBP1	bktB H16_A1445	Beta-ketothiolase BktB (EC 2.3.1.16) (EC 2.3.1.9) (Acetyl-CoA acetyltransferase) (Acetyl-CoA acyltransferase)	Cytoplasm
Q0K0J4	menB H16_B1695	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	Cytoplasm
Q0K756	H16_A3090	Corrinoid adenosyltransferase (EC 2.5.1.17)	Cytoplasm
Q0KAM1	manB1 H16_A1847	Phosphomannomutase (EC 5.4.2.8)	Cytoplasm
Q0K7T4	H16_A2860	Acetoacetyl-CoA synthetase (EC 6.2.1.16)	Cytoplasm
Q0KB10	ldhA2 ldhA1 H16_A1681 H16_A1682	D-Lactate dehydrogenase (EC 1.1.1.28)	Cytoplasm
Q0K375	H16_B0752	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0KEQ8	H16_A0362	Maleylacetoacetate isomerase (EC 5.2.1.2)	Cytoplasm
Q0KCB6	suhB H16_A1214	Inositol-1-monophosphatase (EC 3.1.3.25)	Cytoplasm
Q0K7U5	ribC H16_A2849	Riboflavin synthase alpha chain (EC 2.5.1.9)	Cytoplasm
Q0KC42	H16_A1289	Acyl dehydratase (EC 4.2.1.-)	Cytoplasm
Q0K4Q0	H16_B0223	Dioxygenase related to 2-nitropropane dioxygenase (EC 1.13.11.-)	Cytoplasm
Q0K5S0	H16_A3593	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KCW3	xdhB1 H16_A1016	Xanthine dehydrogenase, subunit B (EC 1.17.1.4)	Cytoplasm
Q0KAA6	catA H16_A1964	Catechol 1,2-dioxygenase (EC 1.13.11.1)	Cytoplasm
Q0KE21	H16_A0602	Short-chain alcohol dehydrogenase/3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0JZ15	tauD2 H16_B2227	Probable taurine catabolism dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0KBN9	metC H16_A1447	Cystathionine beta-lyase (EC 4.4.1.8)	Cytoplasm
Q0K2Z0	phoD H16_B0842	Phosphodiesterase/alkaline phosphatase D (EC 3.1.3.1)	Cytoplasm
Q0KE86	H16_A0535	Putative carboxymuconolactone decarboxylase (EC 4.1.1.44)	Cytoplasm
Q0K308	serA4 H16_B0824	D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cytoplasm
Q0JZ31	H16_B2211	Citrate synthase (EC 2.3.3.1)	Cytoplasm
Q0KBT1	H16_A1404	ADP-ribose pyrophosphatase (EC 3.6.1.13)	Cytoplasm
Q0K8X8	carA H16_A2454	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	Cytoplasm
Q0JY26	zwf3 zwf H16_B2566	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	Cytoplasm
Q0KDR2	cpaF1 H16_A0711	Flp pilus assembly ATPase CpaF (EC 3.6.1.-)	Cytoplasm
Q0K3G3	H16_B0664	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K0L8	hmgA H16_B1671	Homogentisate 1,2-dioxygenase (HGDO) (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	Cytoplasm
Q0K104	H16_B1533	Taurine catabolism dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0K0J5	H16_B1694	Acyl-CoA Dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K301	H16_B0831	Alcohol dehydrogenase, class IV (EC 1.1.1.-)	Cytoplasm
Q0KDC9	lao1 H16_A0845	L-Amino-acid oxidase (EC 1.4.3.2)	Cytoplasm
Q0K418	argE2 H16_B0459	Acetylornithine deacetylase (EC 3.5.1.16)	Cytoplasm
Q0JYD2	alc H16_B2460	Probable allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase)	Cytoplasm
Q0KFC6	mhpD2 H16_A0143	2-Oxopent-4-enoate hydratase (EC 4.2.1.80)	Cytoplasm
Q0K2R7	H16_B0915	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K1J9	H16_B1335	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K3C8	H16_B0699	Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.99.-)	Cytoplasm
Q0KC14	aroC H16_A1317	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Cytoplasm
Q0KAG4	prpC1 H16_A1906	Citrate synthase	Cytoplasm
Q0K492	H16_B0383	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KEQ1	rfbB1 H16_A0369	dTDP-D-glucose 4,6-dehydratase (EC 4.2.1.46)	Cytoplasm
Q0K4F5	pdxA2 H16_B0319	D-threonate 4-phosphate dehydrogenase (EC 1.1.1.408)	Cytoplasm
Q0K3T0	H16_B0547	2-Hydroxymuconic semialdehyde dehydrogenase (EC 1.2.1.32)	Cytoplasm
Q0K2J9	ggt2c H16_B0984	Gamma-glutamyltransferase 2 (EC 2.3.2.2)	Cytoplasm
Q0KEA4	gloA1 H16_A0517	Lactoylglutathione lyase (EC 4.4.1.5) (Glyoxalase I)	Cytoplasm
Q0K749	glcF H16_A3097	2-Hydroxy-acid oxidase, Fe-S subunit (EC 1.1.3.15)	Cytoplasm
Q0K7U6	ribD H16_A2848	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Cytoplasm
Q0KCS5	nuoF H16_A1055	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-)	Cytoplasm
Q0KAI5	H16_A1885	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K789	truA2 H16_A3057	Pseudouridine synthase (EC 5.4.99.-)	Cytoplasm
Q0K1A3	adhP H16_B1433	Alcohol dehydrogenase, Zn-dependent (EC 1.1.1.1)	Cytoplasm
Q0K1E1	cbbS2 H16_B1394	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	Cytoplasm
Q0KDA3	H16_A0871	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K8E4	speE H16_A2647	Spermidine synthase (EC 2.5.1.16)	Cytoplasm
Q0KB33	H16_A1656	Ap4A phosphorylase II (EC 2.7.7.53)	Cytoplasm
Q0KAZ4	H16_A1702	FAD binding domain in molybdopterin dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K0E6	H16_B1746	Monooxygenase (EC 1.14.14.-)	Cytoplasm
Q0K5I6	phhA H16_A3678	Phenylalanine 4-monooxygenase (EC 1.14.16.1)	Cytoplasm
Q0K0J6	H16_B1693	2,3-dihydroxybenzoate-AMP ligase (EC 6.3.2.-)	Cytoplasm
Q0K475	H16_B0400	Medium-chain acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KCS4	nuoG H16_A1056	NADH-quinone oxidoreductase (EC 7.1.1.-)	Cytoplasm
Q0K8K2	H16_A2586	Lactate dehydrogenase or related dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K100	gabD3 H16_B1537	Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.16)	Cytoplasm
Q0K049	H16_B1843	3-Hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	Cytoplasm
Q0K660	lysA2 lysA H16_A3443	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	Cytoplasm
Q0KEC2	gdpD H16_A0499	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Cytoplasm
Q0K6K5	H16_A3292	Molybdopterin oxidoreductase (EC 1.2.1.2)	Cytoplasm
Q0KDM4	nadE H16_A0749	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	Cytoplasm
Q0K6T3	H16_A3213	Uncharacterized protein	Cytoplasm
Q0K0V6	metE H16_B1581	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	Cytoplasm
Q0K3S3	tdcB H16_B0554	Threonine deaminase (EC 4.3.1.19)	Cytoplasm
Q0KD28	H16_A0948	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	Cytoplasm
Q0K3W9	dadA6 H16_B0508	D-amino-acid dehydrogenase (EC 1.4.99.1)	Cytoplasm
Q0K9K9	H16_A2215	Dienelactone hydrolase or related enzyme (EC 3.1.1.-)	Cytoplasm
Q0JYJ1	phaZ7 H16_B2401	Poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0K457	H16_B0419	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KA29	lpxB H16_A2042	Lipid-A-disaccharide synthase (EC 2.4.1.182)	Cytoplasm
Q0K5N3	putA H16_A3631	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	Cytoplasm
Q0K6Z3	maeA H16_A3153	Malic enzyme (NAD-binding) (EC 1.1.1.38)	Cytoplasm
Q0KDU4	H16_A0679	Lactate dehydrogenase or related dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K830	ltaA H16_A2762	L-threonine aldolase (EC 4.1.2.48)	Cytoplasm
Q0KC95	leuC leuC1 H16_A1236	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
Q0KBD9	leuD leuD2 H16_A1550	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
Q0K291	H16_B1092	Thioredoxin reductase (EC 1.8.1.9)	Cytoplasm
Q0K4A3	pimC H16_B0371	Pimeloyl-CoA dehydrogenase (Large subunit) (EC 1.3.1.62)	Cytoplasm
Q0K1T5	H16_B1249	Esterase/lipase (EC 3.1.1.-)	Cytoplasm
Q0K469	H16_B0406	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K2Z1	serA5 H16_B0841	D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cytoplasm
Q0K0E2	H16_B1750	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Cytoplasm
Q0K1I8	H16_B1346	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KC09	H16_A1322	Triacylglycerol lipase (EC 3.1.1.3)	Cytoplasm
Q0K1K2	H16_B1332	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K0F7	H16_B1735	NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	Cytoplasm
Q0KF29	H16_A0240	Acetyltransferase (GNAT) family (EC 2.3.1.-)	Cytoplasm
Q0K586	wbpD H16_B0032	Acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0JY31	H16_B2561	Lactate dehydrogenase or related dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KCI0	phaZ1 H16_A1150	Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0KBE3	H16_A1546	Chitooligosaccharide deacetylase (EC 3.5.1.-)	Cytoplasm
Q0K615	H16_A3488	Dienelactone hydrolase or related enzyme (EC 3.1.1.-)	Cytoplasm
Q0K5A0	H16_B0018	Predicted acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K138	frcC H16_B1499	ABC-type transporter, permease component: CUT2 family, fructose specific	Cytoplasm
Q0KFK1	H16_A0068	D-Hydantoinase	Cytoplasm
Q0KDC2	pntB1 H16_A0852	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	Cytoplasm
Q0K8M0	fabD H16_A2568	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Cytoplasm
Q0KBV8	pdhL H16_A1377	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	Cytoplasm
Q0JYB4	H16_B2478	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KCK8	aroG1 H16_A1122	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Cytoplasm
Q0KEU7	gshB H16_A0323	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	Cytoplasm
Q0K353	nasD H16_B0779	Nitrite reductase, NAD(P)H-dependent, large subunit (EC 1.7.1.4)	Cytoplasm
Q0K4R9	H16_B0204	Succinate dehydrogenase/fumarate reductase,flavoprotein (EC 1.3.99.1)	Cytoplasm
Q0K8F5	mdh H16_A2634	Malate dehydrogenase (EC 1.1.1.37)	Cytoplasm
Q0KEG0	H16_A0461	Two domain protein: 3-hydroxyacyl-CoA dehydrogenase (EC 4.2.1.17)	Cytoplasm
Q0K6S5	H16_A3221	Acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KFA0	can H16_A0169	Carbonic anhydrase	Cytoplasm
Q0K861	folE2 H16_A2731	GTP cyclohydrolase FolE2 (EC 3.5.4.16)	Cytoplasm
Q0K3H3	bphC H16_B0654	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	Cytoplasm
Q0K5W1	H16_A3551	Methylmalonyl CoA epimerase (EC 5.1.99.1)	Cytoplasm
Q0KD82	H16_A0893	Glucose/sorbosone dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K8A9	H16_A2683	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains (EC 3.6.1.-)	Cytoplasm
Q0K8H1	asd H16_A2618	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	Cytoplasm
Q0K8X2	abmB H16_A2460	Putative beta-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KBN0	ispD H16_A1456	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	Cytoplasm
Q0K4B7	H16_B0357	Citrate synthase (EC 2.3.3.1)	Cytoplasm
Q0K9H2	H16_A2252	Acyl-CoA synthetase (EC 6.2.1.-)	Cytoplasm
Q0K0X9	H16_B1558	Two domain protein: Trehalose synthase (EC 5.4.99.16)	Cytoplasm
Q0K6Q2	phy H16_A3244	Prolyl 4-hydroxylase alpha subunit (EC 1.14.11.2)	Cytoplasm
Q0K0N7	H16_B1652	3-Hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Cytoplasm
Q0KF37	H16_A0232	Aldehyde dehydrogenase	Cytoplasm
Q0JZL0	H16_B2032	ATPase involved in chromosome partitioning (EC 3.6.1.-)	Cytoplasm
Q0K812	ggt2b H16_A2780	Gamma-glutamyltransferase 2 (EC 2.3.2.2)	Cytoplasm
Q0K0H4	pntA4 H16_B1715	NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1)	Cytoplasm
Q0KEF7	H16_A0464	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K2Y5	H16_B0847	Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-)	Cytoplasm
Q0KAI8	H16_A1882	Asp-tRNA Asn / Glu-tRNA Gln amidotransferase A subunit or related amidase (EC 6.3.5.-)	Cytoplasm
Q0K368	H16_B0759	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K1G4	H16_B1371	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0KF83	H16_A0186	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	Cytoplasm
Q0K7N3	pyrX H16_A2912	Dihydroorotase (EC 3.5.2.3)	Cytoplasm
Q0K4B4	H16_B0360	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K687	hisD H16_A3416	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	Cytoplasm
Q0K752	glcD1 H16_A3094	Glycolate oxidase subunit GlcD (EC 1.1.3.15)	Cytoplasm
Q0KA33	ppsA H16_A2038	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	Cytoplasm
Q0K8H9	folC H16_A2610	Folylpolyglutamate synthase (EC 6.3.2.17)	Cytoplasm
Q0JZP5	H16_B1997	Putative aylformamidase (EC 3.5.1.9)	Cytoplasm
Q0K829	H16_A2763	Tautomerase (EC 5.3.2.-)	Cytoplasm
P31638	acsA acoE H16_A2525	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	Cytoplasm
Q0KD43	mgsA H16_A0932	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	Cytoplasm
Q0KBZ9	H16_A1332	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	Cytoplasm
Q0K313	kbl H16_B0819	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	Cytoplasm
Q0JY70	H16_B2522	Medium-chain-fatty-acid-CoA ligase (EC 6.2.1.-)	Cytoplasm
Q0KAQ3	H16_A1814	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	Cytoplasm
Q0KDI2	pheA H16_A0792	Prephenate dehydratase, Chorismate mutase (EC 5.4.99.5)	Cytoplasm
Q0KFG8	H16_A0101	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K2Q1	H16_B0932	Phospholipase D (EC 3.1.4.4)	Cytoplasm
Q0K2D6	quiA H16_B1047	Quinate dehydrogenase (PQQ) (EC 1.1.99.25)	Cytoplasm
Q0K018	H16_B1874	Amidase (EC 3.5.1.-)	Cytoplasm
Q0KF30	thiE H16_A0239	Thiamine monophosphate synthase (EC 2.5.1.3)	Cytoplasm
Q0JZ50	glxb H16_B2192	Glutamine amidotransferases class-II (EC 1.4.1.13)	Cytoplasm
Q0KCD1	H16_A1199	Ferredoxin--NADP reductase 1 (FNR 1) (Fd-NADP(+) reductase 1) (EC 1.18.1.2)	Cytoplasm
Q0KFN1	H16_A0038	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0K5Y3	H16_A3529	Acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KA95	metK2 H16_A1975	S-Adenosylmethionine synthetase (EC 2.5.1.6)	Cytoplasm
Q0K276	H16_B1107	Phospholipase D (EC 3.1.4.4)	Cytoplasm
Q0JYX2	can2 H16_B2270	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	Cytoplasm
